header timestamp,object.id,class_label_pred,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z,velocity.linear.x,velocity.angular.z,yaw,dimension_x,dimension_y,dimension_z
1572937879.02665,4101,Null,227.617065,11.411789,3.173851,0.999698,0,0,-0.024559,17.988987,0,-0.049123,7.293758,2.687902,3.039766
1572937879.02665,155,Null,12.638855,5.294663,0.121368,0.999993,0,0,-0.00379,11.265067,0,-0.007581,3.991794,2.165414,1.757265
1572937879.02665,162,Null,-6.75531,-4.943275,0.5,0.99914,0,0,0.041461,3.28572,0,0.082946,3.7825,1.205861,1
1572937879.12630,4101,Truck,228.802612,11.426109,2.451841,0.999704,0,0,-0.024323,6.190756,0.015853,-0.048651,7.293758,2.687902,3.039766
1572937879.12630,12236,Unknown Small,127.025391,-6.026599,1.77367,0.472487,0,0,0.881338,-0.055353,0.004406,2.157372,0.761008,1.298514,2.259654
1572937879.12630,12243,Unknown Small,156.134277,-0.752961,2.18823,0.917657,0,0,0.397374,-0.367634,0.000491,0.817307,0.455426,1.38533,2.123423
1572937879.12630,7476,Van,126.582153,0.699997,1.628955,0.999995,0,0,0.003143,19.645939,0,0.006285,0.923262,1.602719,1.651396
1572937879.12630,12246,Unknown Small,88.061035,-14.76223,0.53235,0.946671,0,0,0.322202,0.025229,0.000961,0.656108,0.458286,0.369221,0.707135
1572937879.12630,12248,Unknown Small,78.841492,-19.266384,0.477165,0.713899,0,0,0.700248,0.021507,0.00538,1.551491,0.400112,0.260976,0.67017
1572937879.12630,12251,Truck,77.702637,4.095875,2.971732,0.999934,0,0,0.011485,18.53771,-0.001765,0.022971,1.857751,1.298951,1.376292
1572937879.12630,7475,Car,151.421387,11.470901,2.208695,0.999938,0,0,-0.011118,22.144667,0,-0.022237,0.439657,1.461869,1.055488
1572937879.12630,4125,Null,4.319717,2.55825,0.5,0.995398,0,0,0.095826,2.798916,0,0.191947,4.101932,0.925804,1
1572937879.12630,4124,Null,29.566711,5.421799,0.175788,0.999999,0,0,0.001588,12.176061,0,0.003175,3.790635,3.877831,1.648425
1572937879.12630,4101,Null,228.802612,11.426109,2.451841,0.999704,0,0,-0.024323,18.017159,0,-0.048651,7.293758,2.687902,3.039766
1572937879.12630,4104,Null,-7.292542,-0.161458,0.5,0.999994,0,0,0.003324,4.577661,0,0.006648,1.847082,2.190949,1
1572937879.12630,155,Null,13.324585,5.190899,0.121368,0.999996,0,0,-0.002804,11.429255,0,-0.005607,3.991794,2.165414,1.757265
1572937879.12630,162,Null,-7.095581,-5.033363,0.5,0.997824,0,0,0.065933,3.688349,0,0.131961,3.7825,1.205861,1
1572937879.22614,4101,Truck,229.988159,11.440432,2.405702,0.999716,0,0,-0.023852,5.840725,0.013258,-0.047709,7.293758,2.687902,3.039766
1572937879.22614,12236,Unknown Small,126.450439,-6.031248,1.453792,0.46996,0,0,0.882688,-0.016276,0.001466,2.163103,0.761008,1.298514,2.259654
1572937879.22614,12243,Unknown Small,155.497681,-0.756549,2.805461,0.911324,0,0,0.411689,-0.514897,0.000607,0.848614,0.455426,1.38533,2.123423
1572937879.22614,7476,Van,127.859863,0.937897,1.500307,0.999998,0,0,0.002163,19.747831,0,0.004325,0.923262,1.602719,1.651396
1572937879.22614,12246,Unknown Small,87.474365,-14.768249,0.502035,0.946827,0,0,0.321742,0.108684,0.000855,0.655138,0.458286,0.369221,0.707135
1572937879.22614,12248,Unknown Small,78.292175,-19.275957,0.264653,0.696152,0,0,0.717895,-0.050301,0.005912,1.601547,0.400112,0.260976,0.67017
1572937879.22614,12251,Truck,79.919434,4.154087,2.379578,0.999923,0,0,0.012402,15.165266,-0.000584,0.024804,1.857751,1.298951,1.376292
1572937879.22614,12252,Unknown Small,169.185486,-12.907192,3.140059,0.946266,0,0,0.323389,0.156751,0.000903,0.658617,0.145632,0.444191,1.721711
1572937879.22614,7475,Car,153.029419,11.632401,1.720633,0.999916,0,0,-0.012945,22.20097,0,-0.025891,0.439657,1.461869,1.055488
1572937879.22614,4125,Null,4.158218,2.627434,0.5,0.995378,0,0,0.096038,2.408035,0,0.192373,4.101932,0.925804,1
1572937879.22614,155,Null,13.841736,5.172995,0.121368,0.999997,0,0,-0.002602,11.515882,0,-0.005203,3.991794,2.165414,1.757265
1572937879.22614,4104,Null,-7.422165,-0.165326,0.5,0.999996,0,0,0.002821,4.69746,0,0.005642,1.847082,2.190949,1
1572937879.22614,4124,Null,30.192444,5.411613,0.175788,0.999998,0,0,0.002033,12.224433,0,0.004066,3.790635,3.877831,1.648425
1572937879.22614,4101,Null,229.988159,11.440432,2.405702,0.999716,0,0,-0.023852,18.04208,0,-0.047709,7.293758,2.687902,3.039766
1572937879.22614,162,Null,-7.435852,-5.123444,0.5,0.99667,0,0,0.081541,3.879179,0,0.163263,3.7825,1.205861,1
1572937879.32594,4101,Truck,231.173706,11.454752,3.011805,0.999727,0,0,-0.023381,2.777571,0.006077,-0.046766,7.293758,2.687902,3.039766
1572937879.32594,12236,Unknown Small,125.875427,-6.035896,1.586205,0.467429,0,0,0.884031,-0.005562,0.00054,2.168833,0.761008,1.298514,2.259654
1572937879.32594,12243,Unknown Small,154.861084,-0.760138,2.241013,0.34636,0,0,0.938102,-0.167539,0.001394,2.434216,0.455426,1.38533,2.123423
1572937879.32594,7476,Van,129.137695,1.175812,1.772352,0.999999,0,0,0.001182,19.89234,0,0.002365,0.923262,1.602719,1.651396
1572937879.32594,12246,Unknown Small,86.887634,-14.774267,0.603739,0.946983,0,0,0.321283,0.145007,0.000674,0.654168,0.458286,0.369221,0.707135
1572937879.32594,12248,Unknown Small,77.74292,-19.28553,0.118304,0.72573,0,0,0.68798,-0.068959,0.006552,1.517403,0.400112,0.260976,0.67017
1572937879.32594,12251,Truck,82.13623,4.212303,2.705316,0.999911,0,0,0.013318,8.769205,0.00051,0.026637,1.857751,1.298951,1.376292
1572937879.32594,12252,Unknown Small,168.704407,-12.929646,3.372204,0.945472,0,0,0.325702,0.180484,0.000905,0.663508,0.145632,0.444191,1.721711
1572937879.32594,7475,Car,154.637573,11.793884,2.088869,0.999891,0,0,-0.014772,22.27326,0,-0.029545,0.439657,1.461869,1.055488
